component_id,type,symbol_kind,name,rel_file,line,confidence,evidence,purpose,internal_deps,external_deps,stdlib_deps
c5ec4c359dc4,UseCase,class,UpdateTodoUseCase,dddpy/usecase/todo/update_todo_usecase.py,12,50.0,class UpdateTodoUseCase(ABC):,Application-specific business operation with single purpose,4,0,2
3343ef6357a5,UseCase,class,UpdateTodoUseCaseImpl,dddpy/usecase/todo/update_todo_usecase.py,34,50.0,class UpdateTodoUseCaseImpl(UpdateTodoUseCase):,Application-specific business operation with single purpose,4,0,2
45dc59a51f16,Unknown,function,new_update_todo_usecase,dddpy/usecase/todo/update_todo_usecase.py,78,30.0,def new_update_todo_usecase(todo_repository: TodoRepository) -> UpdateTodoUseCase:,Unknown particle type,4,0,2
b2a9b8fcc150,ValueObject,class,TodoDescription,dddpy/domain/todo/value_objects/todo_description.py,7,50.0,class TodoDescription:,"Immutable object defined by its attributes, not identity",0,0,1
70ea4f5cdca5,ValueObject,class,TodoStatus,dddpy/domain/todo/value_objects/todo_status.py,6,50.0,class TodoStatus(Enum):,"Immutable object defined by its attributes, not identity",0,0,1
b1126f7996e0,ValueObject,class,TodoTitle,dddpy/domain/todo/value_objects/todo_title.py,7,50.0,class TodoTitle:,"Immutable object defined by its attributes, not identity",0,0,1
260ce170729b,ValueObject,class,TodoId,dddpy/domain/todo/value_objects/todo_id.py,8,50.0,class TodoId:,"Immutable object defined by its attributes, not identity",0,0,2
a1cdf5e1b71b,Repository,class,TodoRepository,dddpy/domain/todo/repositories/todo_repository.py,10,75.0,class TodoRepository(ABC):,Data access layer for aggregate persistence,2,0,2
5d80623af857,Unknown,class,TodoNotFoundError,dddpy/domain/todo/exceptions/todo_not_found_error.py,4,30.0,class TodoNotFoundError(Exception):,Unknown particle type,0,0,0
0e3912d18290,Unknown,class,TodoNotStartedError,dddpy/domain/todo/exceptions/todo_not_started_error.py,4,30.0,class TodoNotStartedError(Exception):,Unknown particle type,0,0,0
17127381944f,Unknown,class,TodoAlreadyStartedError,dddpy/domain/todo/exceptions/todo_already_started_error.py,4,30.0,class TodoAlreadyStartedError(Exception):,Unknown particle type,0,0,0
783585582e10,Unknown,class,TodoAlreadyCompletedError,dddpy/domain/todo/exceptions/todo_already_completed_error.py,4,30.0,class TodoAlreadyCompletedError(Exception):,Unknown particle type,0,0,0
03c6da2d335e,Entity,class,Todo,dddpy/domain/todo/entities/todo.py,14,50.0,class Todo:,Core domain object with identity and lifecycle management,1,0,2
69d18c958f99,DTO,class,TodoUpdateSchema,dddpy/presentation/api/todo/schemas/todo_update_schema.py,6,50.0,class TodoUpdateSchema(BaseModel):,Data transfer object / schema (no business behavior),0,1,0
fbcab477fc11,DTO,class,TodoCreateSchema,dddpy/presentation/api/todo/schemas/todo_create_schema.py,6,50.0,class TodoCreateSchema(BaseModel):,Data transfer object / schema (no business behavior),0,1,0
2ef13563f0e9,DTO,class,TodoSchema,dddpy/presentation/api/todo/schemas/todo_schema.py,8,50.0,class TodoSchema(BaseModel):,Data transfer object / schema (no business behavior),1,1,0
eb518ab6f69d,DTO,class,ErrorMessageTodoAlreadyCompleted,dddpy/presentation/api/todo/error_messages/todo_already_completed_error_message.py,8,50.0,class ErrorMessageTodoAlreadyCompleted(BaseModel):,Data transfer object / schema (no business behavior),1,1,0
adc03e82d8c3,DTO,class,ErrorMessageTodoNotFound,dddpy/presentation/api/todo/error_messages/todo_not_found_error_message.py,8,50.0,class ErrorMessageTodoNotFound(BaseModel):,Data transfer object / schema (no business behavior),1,1,0
b6b4dc912417,DTO,class,ErrorMessageTodoNotStarted,dddpy/presentation/api/todo/error_messages/todo_not_started_error_message.py,8,50.0,class ErrorMessageTodoNotStarted(BaseModel):,Data transfer object / schema (no business behavior),1,1,0
96bdc813db31,DTO,class,ErrorMessageTodoAlreadyStarted,dddpy/presentation/api/todo/error_messages/todo_already_started_error_message.py,8,50.0,class ErrorMessageTodoAlreadyStarted(BaseModel):,Data transfer object / schema (no business behavior),1,1,0
be047188510d,Controller,class,TodoApiRouteHandler,dddpy/presentation/api/todo/handlers/todo_api_route_handler.py,38,50.0,class TodoApiRouteHandler:,Handles user input and coordinates application flow,6,1,2
ca667b0f9abc,Unknown,function,todo_repository_mock,tests/usecase/todo/test_find_todos_usecase.py,14,30.0,def todo_repository_mock():,Unknown particle type,4,1,1
96552b37714c,Unknown,function,find_todos_usecase,tests/usecase/todo/test_find_todos_usecase.py,20,30.0,def find_todos_usecase(todo_repository_mock):,Unknown particle type,4,1,1
9e5b9c710076,Unknown,function,test_find_todos_empty_list,tests/usecase/todo/test_find_todos_usecase.py,25,30.0,"def test_find_todos_empty_list(find_todos_usecase, todo_repository_mock):",Unknown particle type,4,1,1
95bb29cf44da,Unknown,function,test_find_todos_with_items,tests/usecase/todo/test_find_todos_usecase.py,38,30.0,"def test_find_todos_with_items(find_todos_usecase, todo_repository_mock):",Unknown particle type,4,1,1
3066758531ca,Unknown,function,todo_repository_mock,tests/usecase/todo/test_find_todo_by_id_usecase.py,14,30.0,def todo_repository_mock():,Unknown particle type,4,1,1
