src,link,resolved,is_archive,suggestion
archive/docs_consolidated_2026-01-19/TOOL.md,INDEX.md,archive/docs_consolidated_2026-01-19/INDEX.md,True,
archive/docs_smc_2026-01-19/ATOMS_REFERENCE.md,../README.md,archive/README.md,True,
archive/docs_smc_2026-01-19/ATOMS_REFERENCE.md,./README.md,archive/docs_smc_2026-01-19/README.md,True,
archive/docs_smc_2026-01-19/COMMANDS.md,../README.md,archive/README.md,True,
archive/docs_smc_2026-01-19/COMMANDS.md,./README.md,archive/docs_smc_2026-01-19/README.md,True,
archive/docs_smc_2026-01-19/QUICKSTART.md,../CLAUDE.md,archive/CLAUDE.md,True,
archive/docs_smc_2026-01-19/QUICKSTART.md,../README.md,archive/README.md,True,
archive/docs_smc_2026-01-19/QUICKSTART.md,./ARCHITECTURE.md,archive/docs_smc_2026-01-19/ARCHITECTURE.md,True,
archive/docs_smc_2026-01-19/QUICKSTART.md,./GLOSSARY.md,archive/docs_smc_2026-01-19/GLOSSARY.md,True,
archive/docs_smc_2026-01-19/QUICKSTART.md,./README.md,archive/docs_smc_2026-01-19/README.md,True,
archive/docs_smc_2026-01-19/THEORY_MAP.md,../README.md,archive/README.md,True,
archive/docs_smc_2026-01-19/THEORY_MAP.md,./README.md,archive/docs_smc_2026-01-19/README.md,True,
archive/grok_chats/000-grok-leonardo-lech_1.md,el,archive/grok_chats/el,True,
archive/grok_chats/001-grok-leonardo-lech-2.md,el,archive/grok_chats/el,True,
archive/grok_chats/004-grok-leo-lbldomain-1.md,el,archive/grok_chats/el,True,
archive/onboarding_legacy_2026-01-25/AGENT_INITIATION.md,AI_USER_GUIDE.md,archive/onboarding_legacy_2026-01-25/AI_USER_GUIDE.md,True,
archive/spectrometer_benchmarks_legacy/express/Readme.md,LICENSE,archive/spectrometer_benchmarks_legacy/express/LICENSE,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./auth,archive/spectrometer_benchmarks_legacy/express/examples/auth,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./content-negotiation,archive/spectrometer_benchmarks_legacy/express/examples/content-negotiation,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./cookie-sessions,archive/spectrometer_benchmarks_legacy/express/examples/cookie-sessions,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./cookies,archive/spectrometer_benchmarks_legacy/express/examples/cookies,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./downloads,archive/spectrometer_benchmarks_legacy/express/examples/downloads,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./ejs,archive/spectrometer_benchmarks_legacy/express/examples/ejs,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./error,archive/spectrometer_benchmarks_legacy/express/examples/error,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./error-pages,archive/spectrometer_benchmarks_legacy/express/examples/error-pages,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./hello-world,archive/spectrometer_benchmarks_legacy/express/examples/hello-world,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./multi-router,archive/spectrometer_benchmarks_legacy/express/examples/multi-router,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./mvc,archive/spectrometer_benchmarks_legacy/express/examples/mvc,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./online,archive/spectrometer_benchmarks_legacy/express/examples/online,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./params,archive/spectrometer_benchmarks_legacy/express/examples/params,True,
archive/spectrometer_benchmarks_legacy/express/examples/README.md,./resource,archive/spectrometer_benchmarks_legacy/express/examples/resource,True,
