path,bytes,MB,ext,top,prefix2,is_archive
collider_output_small/output_llm-oriented_src_20260121_074317.json,12823063,12.823063,.json,collider_output_small,collider_output_small/output_llm-oriented_src_20260121_074317.json,False
collider_output_small/output_llm-oriented_src_20260121_082117.json,12816877,12.816877,.json,collider_output_small,collider_output_small/output_llm-oriented_src_20260121_082117.json,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/lombok/04876622d9ce/output_llm-oriented_lombok_20260123_031311.json,11506261,11.506261,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/lombok/04876622d9ce/output_llm-oriented_lombok_20260123_030505.json,11506261,11.506261,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/fiber/8b09b22108b6/output_llm-oriented_fiber_20260123_045700.json,10670943,10.670943,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/attrs/manual/output_llm-oriented_attrs_20260123_050850.json,9610309,9.610309,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/k9s/6dbf571c59fd/output_llm-oriented_k9s_20260123_030235.json,8700735,8.700735,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/k9s/6dbf571c59fd/output_llm-oriented_k9s_20260123_031104.json,8700735,8.700735,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/httpx/ae1b9f66238f/output_llm-oriented_httpx_20260123_024805.json,8463109,8.463109,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/httpx/ae1b9f66238f/output_llm-oriented_httpx_20260123_025617.json,8462564,8.462564,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-22/repos/httpx/ae1b9f66238f/output_llm-oriented_httpx_20260122_151838.json,8350990,8.35099,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/bat/cd06fe46e001/output_llm-oriented_bat_20260123_025400.json,7862342,7.862342,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/bat/cd06fe46e001/output_llm-oriented_bat_20260123_030305.json,7862076,7.862076,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/bat/cd06fe46e001/output_llm-oriented_bat_20260123_031133.json,7861946,7.861946,.json,standard-model-of-code,standard-model-of-code/artifacts,False
architecture_report/collider_analysis/output_llm-oriented_standard-model-of-code_20260121_014151.json,7789623,7.789623,.json,architecture_report,architecture_report/collider_analysis,False
architecture_report/collider_analysis/output_llm-oriented_standard-model-of-code_20260121_014224.json,7789410,7.78941,.json,architecture_report,architecture_report/collider_analysis,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/ripgrep/0a88cccd5188/output_llm-oriented_ripgrep_20260123_030251.json,7549705,7.549705,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/ripgrep/0a88cccd5188/output_llm-oriented_ripgrep_20260123_031120.json,7549705,7.549705,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/serde/d17902059e77/output_llm-oriented_serde_20260123_031111.json,7466985,7.466985,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/serde/d17902059e77/output_llm-oriented_serde_20260123_030242.json,7466985,7.466985,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/starship/6109716afee0/output_llm-oriented_starship_20260123_030324.json,7317826,7.317826,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/starship/6109716afee0/output_llm-oriented_starship_20260123_031150.json,7317826,7.317826,.json,standard-model-of-code,standard-model-of-code/artifacts,False
