path,extension,domain,category,intel_model,size_bytes,modified,hash_short,status
.collider-full/output_human-readable_project-elements_20260126_040843.html,.html,unknown,data,N/A,2072587,2026-01-26T04:08:43.860162,4610828c,new
.collider-full/output_llm-oriented_project-elements_20260126_040843.json,.json,unknown,unknown,N/A,26796489,2026-01-26T04:08:43.622282,5f020b33,new
.collider-full/output_llm-oriented_standard-model-of-code_20260126_050447.json,.json,unknown,unknown,N/A,18049961,2026-01-26T05:08:52.290200,4803021e,new
