repo,sha,language,domain,size,n_nodes,top_1_mass,top_2_mass,top_4_mass,unknown_rate,t2_rate,collider_sha
zod,cbf77bb12bdf,typescript,library,medium,711,76.65,95.08,100.0,0.42,0.0,6cc04bc9da5d
httpx,ae1b9f66238f,python,library,medium,1306,80.02,90.12,99.31,0.38,0.0,6cc04bc9da5d
cobra,61968e893eee,go,library,medium,448,78.12,91.52,96.43,0.22,0.0,6cc04bc9da5d
instructor,3fe0c7664bd1,python,library,small,2506,57.18,83.16,98.32,0.2,0.0,6cc04bc9da5d
