component_id,type,symbol_kind,name,rel_file,line,confidence,evidence,purpose,internal_deps,external_deps,stdlib_deps
a7bba164ab59,Query,class,Query,temp_pydantic_v1_params.py,201,50.0,class Query(Param):  # type: ignore[misc],Immutable request for system information,2,3,2
37ef06f14869,Unknown,class,Header,temp_pydantic_v1_params.py,285,30.0,class Header(Param):  # type: ignore[misc],Unknown particle type,2,3,2
cd08b98bcbd7,Unknown,class,Cookie,temp_pydantic_v1_params.py,371,30.0,class Cookie(Param):  # type: ignore[misc],Unknown particle type,2,3,2
3d928bc449bf,Unknown,class,Body,temp_pydantic_v1_params.py,455,30.0,class Body(FieldInfo):  # type: ignore[misc],Unknown particle type,2,3,2
b3647b92426d,Unknown,class,Form,temp_pydantic_v1_params.py,559,30.0,class Form(Body):  # type: ignore[misc],Unknown particle type,2,3,2
4f13a013be53,Unknown,class,File,temp_pydantic_v1_params.py,643,30.0,class File(Form):  # type: ignore[misc],Unknown particle type,2,3,2
bd5373a5323f,Unknown,class,EndpointContext,exceptions.py,10,30.0,"class EndpointContext(TypedDict, total=False):",Unknown particle type,0,5,1
c07727ea0cc6,Unknown,class,HTTPException,exceptions.py,17,30.0,class HTTPException(StarletteHTTPException):,Unknown particle type,0,5,1
697add87bf48,Unknown,class,WebSocketException,exceptions.py,76,30.0,class WebSocketException(StarletteWebSocketException):,Unknown particle type,0,5,1
4e4bb759188e,Controller,class,FastAPIError,exceptions.py,151,50.0,class FastAPIError(RuntimeError):,Handles user input and coordinates application flow,0,5,1
a4b794426bdb,Unknown,class,DependencyScopeError,exceptions.py,157,30.0,class DependencyScopeError(FastAPIError):,Unknown particle type,0,5,1
9be81c74125f,Unknown,class,ValidationException,exceptions.py,164,30.0,class ValidationException(Exception):,Unknown particle type,0,5,1
e714a761cbb2,DTO,class,RequestValidationError,exceptions.py,202,50.0,class RequestValidationError(ValidationException):,Data transfer object / schema (no business behavior),0,5,1
ca52edc3221d,DTO,class,WebSocketRequestValidationError,exceptions.py,214,50.0,class WebSocketRequestValidationError(ValidationException):,Data transfer object / schema (no business behavior),0,5,1
06bc234e0e4f,DTO,class,ResponseValidationError,exceptions.py,224,50.0,class ResponseValidationError(ValidationException):,Data transfer object / schema (no business behavior),0,5,1
b3663ff85df8,Unknown,function,Path,param_functions.py,12,30.0,def Path(  # noqa: N802,Unknown particle type,0,5,1
a958857fa5a8,Unknown,function,Query,param_functions.py,340,30.0,def Query(  # noqa: N802,Unknown particle type,0,5,1
d22aff84da0f,Unknown,function,Header,param_functions.py,644,30.0,def Header(  # noqa: N802,Unknown particle type,0,5,1
365944e374b4,Unknown,function,Cookie,param_functions.py,960,30.0,def Cookie(  # noqa: N802,Unknown particle type,0,5,1
25c7c2758510,Unknown,function,Body,param_functions.py,1264,30.0,def Body(  # noqa: N802,Unknown particle type,0,5,1
a1c3e7a0034c,Unknown,function,Form,param_functions.py,1593,30.0,def Form(  # noqa: N802,Unknown particle type,0,5,1
7296d8f9bf35,Unknown,function,File,param_functions.py,1907,30.0,def File(  # noqa: N802,Unknown particle type,0,5,1
472d46736d77,Unknown,function,Depends,param_functions.py,2221,30.0,def Depends(  # noqa: N802,Unknown particle type,0,5,1
f74c1760818d,Unknown,function,Security,param_functions.py,2301,30.0,def Security(  # noqa: N802,Unknown particle type,0,5,1
d2f636aebfe9,Unknown,class,UploadFile,datastructures.py,29,30.0,class UploadFile(StarletteUploadFile):,Unknown particle type,1,10,1
724e9b70abbd,Unknown,class,DefaultPlaceholder,datastructures.py,176,30.0,class DefaultPlaceholder:,Unknown particle type,1,10,1
3879cce6da1e,Unknown,function,Default,datastructures.py,197,30.0,def Default(value: DefaultType) -> DefaultType:,Unknown particle type,1,10,1
b75a76243913,Unknown,class,AsyncExitStackMiddleware,middleware/asyncexitstack.py,8,30.0,class AsyncExitStackMiddleware:,Unknown particle type,0,1,1
3a68c7a87e74,Unknown,class,OpenIdConnect,security/open_id_connect_url.py,12,30.0,class OpenIdConnect(SecurityBase):,Unknown particle type,0,7,1
764c9be52bff,DTO,class,OAuth2PasswordRequestForm,security/oauth2.py,17,50.0,class OAuth2PasswordRequestForm:,Data transfer object / schema (no business behavior),0,10,1
48b64351aafc,DTO,class,OAuth2PasswordRequestFormStrict,security/oauth2.py,153,50.0,class OAuth2PasswordRequestFormStrict(OAuth2PasswordRequestForm):,Data transfer object / schema (no business behavior),0,10,1
889d1ac899fa,Unknown,class,OAuth2,security/oauth2.py,309,30.0,class OAuth2(SecurityBase):,Unknown particle type,0,10,1
c4a9d957b2fe,Unknown,class,OAuth2PasswordBearer,security/oauth2.py,412,30.0,class OAuth2PasswordBearer(OAuth2):,Unknown particle type,0,10,1
3a238405cec4,Unknown,class,OAuth2AuthorizationCodeBearer,security/oauth2.py,520,30.0,class OAuth2AuthorizationCodeBearer(OAuth2):,Unknown particle type,0,10,1
22ee1a1424d7,Unknown,class,SecurityScopes,security/oauth2.py,626,30.0,class SecurityScopes:,Unknown particle type,0,10,1
1982ad0d5ffa,Controller,class,APIKeyBase,security/api_key.py,12,50.0,class APIKeyBase(SecurityBase):,Handles user input and coordinates application flow,0,7,1
4c71d2d9e606,Controller,class,APIKeyQuery,security/api_key.py,54,50.0,class APIKeyQuery(APIKeyBase):,Handles user input and coordinates application flow,0,7,1
b97f6d15a974,Controller,class,APIKeyHeader,security/api_key.py,146,50.0,class APIKeyHeader(APIKeyBase):,Handles user input and coordinates application flow,0,7,1
a817949556a9,Controller,class,APIKeyCookie,security/api_key.py,234,50.0,class APIKeyCookie(APIKeyBase):,Handles user input and coordinates application flow,0,7,1
18379e5076dd,Unknown,function,get_authorization_scheme_param,security/utils.py,4,30.0,def get_authorization_scheme_param(,Unknown particle type,0,0,1
b8ed4a70cdfb,DTO,class,HTTPBasicCredentials,security/http.py,17,50.0,class HTTPBasicCredentials(BaseModel):,Data transfer object / schema (no business behavior),0,10,3
acc3e752b23f,DTO,class,HTTPAuthorizationCredentials,security/http.py,30,50.0,class HTTPAuthorizationCredentials(BaseModel):,Data transfer object / schema (no business behavior),0,10,3
ca389753300f,Unknown,class,HTTPBase,security/http.py,70,30.0,class HTTPBase(SecurityBase):,Unknown particle type,0,10,3
70df456cdcc6,Unknown,class,HTTPBasic,security/http.py,108,30.0,class HTTPBasic(HTTPBase):,Unknown particle type,0,10,3
720190f7e114,Unknown,class,HTTPBearer,security/http.py,225,30.0,class HTTPBearer(HTTPBase):,Unknown particle type,0,10,3
dd5faf30077a,Unknown,class,HTTPDigest,security/http.py,324,30.0,class HTTPDigest(HTTPBase):,Unknown particle type,0,10,3
c857f3a0969e,Unknown,class,SecurityBase,security/base.py,4,30.0,class SecurityBase:,Unknown particle type,0,1,0
fd5317d3ff93,Unknown,function,_unwrapped_call,dependencies/models.py,18,30.0,"def _unwrapped_call(call: Optional[Callable[..., Any]]) -> Any:",Unknown particle type,0,4,7
b35b6b083d5b,Unknown,function,_impartial,dependencies/models.py,25,30.0,"def _impartial(func: Callable[..., Any]) -> Callable[..., Any]:",Unknown particle type,0,4,7
09892f5ef831,Unknown,class,Dependant,dependencies/models.py,32,30.0,class Dependant:,Unknown particle type,0,4,7
ad610d429fce,Unknown,function,ensure_multipart_is_installed,dependencies/utils.py,97,30.0,def ensure_multipart_is_installed() -> None:,Unknown particle type,0,26,7
a2397c6f06b1,Unknown,function,get_parameterless_sub_dependant,dependencies/utils.py,124,30.0,"def get_parameterless_sub_dependant(*, depends: params.Depends, path: str) -> Dependant:",Unknown particle type,0,26,7
06e8c5d895a5,Unknown,function,get_flat_dependant,dependencies/utils.py,139,30.0,def get_flat_dependant(,Unknown particle type,0,26,7
22354cffef7e,Unknown,function,_get_flat_fields_from_params,dependencies/utils.py,193,30.0,def _get_flat_fields_from_params(fields: List[ModelField]) -> List[ModelField]:,Unknown particle type,0,26,7
c2c20025608a,Unknown,function,get_flat_params,dependencies/utils.py,203,30.0,def get_flat_params(dependant: Dependant) -> List[ModelField]:,Unknown particle type,0,26,7
f0bc27167384,Unknown,function,_get_signature,dependencies/utils.py,212,30.0,"def _get_signature(call: Callable[..., Any]) -> inspect.Signature:",Unknown particle type,0,26,7
48bca06a186e,Unknown,function,get_typed_signature,dependencies/utils.py,225,30.0,"def get_typed_signature(call: Callable[..., Any]) -> inspect.Signature:",Unknown particle type,0,26,7
53818f5028fc,Unknown,function,get_typed_annotation,dependencies/utils.py,242,30.0,"def get_typed_annotation(annotation: Any, globalns: Dict[str, Any]) -> Any:",Unknown particle type,0,26,7
a5d7d8145994,Unknown,function,get_typed_return_annotation,dependencies/utils.py,251,30.0,"def get_typed_return_annotation(call: Callable[..., Any]) -> Any:",Unknown particle type,0,26,7
cbd323bb4408,Unknown,function,get_dependant,dependencies/utils.py,263,30.0,def get_dependant(,Unknown particle type,0,26,7
47babfb98b8f,Unknown,function,add_non_field_param_to_dependency,dependencies/utils.py,340,30.0,def add_non_field_param_to_dependency(,Unknown particle type,0,26,7
a0dc7c6fa039,Unknown,class,ParamDetails,dependencies/utils.py,365,30.0,class ParamDetails:,Unknown particle type,0,26,7
aa24dd3fa0b5,Unknown,function,analyze_param,dependencies/utils.py,371,30.0,def analyze_param(,Unknown particle type,0,26,7
bd87c3c90d4c,Unknown,function,add_param_to_fields,dependencies/utils.py,558,30.0,"def add_param_to_fields(*, field: ModelField, dependant: Dependant) -> None:",Unknown particle type,0,26,7
bb5e0479b3ce,Unknown,function,_solve_generator,dependencies/utils.py,574,30.0,async def _solve_generator(,Unknown particle type,0,26,7
37ab06dbdf73,Unknown,class,SolvedDependency,dependencies/utils.py,586,30.0,class SolvedDependency:,Unknown particle type,0,26,7
6ba3db480022,Unknown,function,solve_dependencies,dependencies/utils.py,594,30.0,async def solve_dependencies(,Unknown particle type,0,26,7
ad25246f41c7,Specification,function,_validate_value_with_model_field,dependencies/utils.py,734,75.0,def _validate_value_with_model_field(,Encapsulated business rule that can be combined,0,26,7
0ea70a244f03,Unknown,function,_get_multidict_value,dependencies/utils.py,752,30.0,def _get_multidict_value(,Unknown particle type,0,26,7
e3d8843115e0,Unknown,function,request_params_to_args,dependencies/utils.py,776,30.0,def request_params_to_args(,Unknown particle type,0,26,7
9c191b67796c,Unknown,function,is_union_of_base_models,dependencies/utils.py,859,30.0,def is_union_of_base_models(field_type: Any) -> bool:,Unknown particle type,0,26,7
d465b220d587,Unknown,function,_should_embed_body_fields,dependencies/utils.py,878,30.0,def _should_embed_body_fields(fields: List[ModelField]) -> bool:,Unknown particle type,0,26,7
2feacb07fa42,Unknown,function,_extract_form_body,dependencies/utils.py,902,30.0,async def _extract_form_body(,Unknown particle type,0,26,7
a2dde074ec99,Unknown,function,request_body_to_args,dependencies/utils.py,949,30.0,async def request_body_to_args(,Unknown particle type,0,26,7
27d1fa2a11bd,Unknown,function,get_body_field,dependencies/utils.py,999,30.0,def get_body_field(,Unknown particle type,0,26,7
c6f4554ea7f6,Unknown,function,get_validation_alias,dependencies/utils.py,1065,30.0,def get_validation_alias(field: ModelField) -> str:,Unknown particle type,0,26,7
5bab11540a57,DTO,class,BaseModelWithConfig,openapi/models.py,58,50.0,class BaseModelWithConfig(BaseModel):,Data transfer object / schema (no business behavior),0,7,2
990b6d6293ea,DTO,class,Contact,openapi/models.py,68,50.0,class Contact(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
236385641bf6,DTO,class,License,openapi/models.py,74,50.0,class License(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
f7f52e332fcc,DTO,class,Info,openapi/models.py,80,50.0,class Info(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
15ea8986b719,DTO,class,ServerVariable,openapi/models.py,90,50.0,class ServerVariable(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
9320da18507b,DTO,class,Server,openapi/models.py,96,50.0,class Server(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
c8f4a804fb34,DTO,class,Reference,openapi/models.py,102,50.0,class Reference(BaseModel):,Data transfer object / schema (no business behavior),0,7,2
131501c959ec,DTO,class,Discriminator,openapi/models.py,106,50.0,class Discriminator(BaseModel):,Data transfer object / schema (no business behavior),0,7,2
f538706b7071,DTO,class,XML,openapi/models.py,111,50.0,class XML(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
c83551bedbdb,DTO,class,ExternalDocumentation,openapi/models.py,119,50.0,class ExternalDocumentation(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
0396a52a11ac,DTO,class,Schema,openapi/models.py,130,50.0,class Schema(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
8f6ecb73724e,Unknown,class,Example,openapi/models.py,222,30.0,"class Example(TypedDict, total=False):",Unknown particle type,0,7,2
9b00f1ddbaed,Unknown,class,ParameterInType,openapi/models.py,237,30.0,class ParameterInType(Enum):,Unknown particle type,0,7,2
990645e54851,DTO,class,Encoding,openapi/models.py,244,50.0,class Encoding(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
ae15ef401530,DTO,class,MediaType,openapi/models.py,252,50.0,class MediaType(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
4f3d5a345ce1,DTO,class,ParameterBase,openapi/models.py,259,50.0,class ParameterBase(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
28a27621c39b,Unknown,class,Parameter,openapi/models.py,274,30.0,class Parameter(ParameterBase):,Unknown particle type,0,7,2
fe50fe94087f,Unknown,class,Header,openapi/models.py,279,30.0,class Header(ParameterBase):,Unknown particle type,0,7,2
4a77df39473b,DTO,class,RequestBody,openapi/models.py,283,50.0,class RequestBody(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
ea509501b614,DTO,class,Link,openapi/models.py,289,50.0,class Link(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
f9cd64ebe4cc,DTO,class,Response,openapi/models.py,298,50.0,class Response(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
863fc1894b3e,DTO,class,Operation,openapi/models.py,305,50.0,class Operation(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
bde3c84ff359,DTO,class,PathItem,openapi/models.py,321,50.0,class PathItem(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
7ce0f82f6ec7,Unknown,class,SecuritySchemeType,openapi/models.py,337,30.0,class SecuritySchemeType(Enum):,Unknown particle type,0,7,2
f2f075307ce2,DTO,class,SecurityBase,openapi/models.py,344,50.0,class SecurityBase(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
e13f4474ddce,Controller,class,APIKeyIn,openapi/models.py,349,50.0,class APIKeyIn(Enum):,Handles user input and coordinates application flow,0,7,2
4bc8ff0c03d7,Controller,class,APIKey,openapi/models.py,355,50.0,class APIKey(SecurityBase):,Handles user input and coordinates application flow,0,7,2
f44a5b3b822a,Unknown,class,HTTPBase,openapi/models.py,361,30.0,class HTTPBase(SecurityBase):,Unknown particle type,0,7,2
7ee766e4c6d0,Unknown,class,HTTPBearer,openapi/models.py,366,30.0,class HTTPBearer(HTTPBase):,Unknown particle type,0,7,2
75226ac5e2f2,DTO,class,OAuthFlow,openapi/models.py,371,50.0,class OAuthFlow(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
a95c830b597b,Unknown,class,OAuthFlowImplicit,openapi/models.py,376,30.0,class OAuthFlowImplicit(OAuthFlow):,Unknown particle type,0,7,2
06245dd03e31,Unknown,class,OAuthFlowPassword,openapi/models.py,380,30.0,class OAuthFlowPassword(OAuthFlow):,Unknown particle type,0,7,2
21cd990302f0,Unknown,class,OAuthFlowClientCredentials,openapi/models.py,384,30.0,class OAuthFlowClientCredentials(OAuthFlow):,Unknown particle type,0,7,2
77302be3a629,Unknown,class,OAuthFlowAuthorizationCode,openapi/models.py,388,30.0,class OAuthFlowAuthorizationCode(OAuthFlow):,Unknown particle type,0,7,2
28649b2a0ccb,DTO,class,OAuthFlows,openapi/models.py,393,50.0,class OAuthFlows(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
a67bb2e36191,Unknown,class,OAuth2,openapi/models.py,400,30.0,class OAuth2(SecurityBase):,Unknown particle type,0,7,2
42dedfeec8fe,Unknown,class,OpenIdConnect,openapi/models.py,405,30.0,class OpenIdConnect(SecurityBase):,Unknown particle type,0,7,2
64bde9272fda,DTO,class,Components,openapi/models.py,415,50.0,class Components(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
a32626123817,DTO,class,Tag,openapi/models.py,429,50.0,class Tag(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
e893c0a2e531,DTO,class,OpenAPI,openapi/models.py,435,50.0,class OpenAPI(BaseModelWithConfig):,Data transfer object / schema (no business behavior),0,7,2
